160.785	51.8307	185.309	52.6425
173.515	54.4381	198.651	57.2814
402.732	53.9212	428.262	56.3963
141.98	54.5538	166.504	56.0316
185.08	67.3722	211.003	68.4682
202.496	66.9247	227.341	68.8555
170.427	68.4427	195.15	70.2851
162.956	68.631	186.763	71.2613
138.974	70.4074	162.814	72.2219
383.109	70.1465	408.401	72.2145
128.196	70.546	151.994	73.186
208.83	72.4583	233.684	73.4823
435.197	71.8845	460.126	74.3895
397.943	74.8113	422.475	77.9113
459.392	77.541	484.187	80.9843
409.55	79.0573	434.953	81.1113
434.814	89.1726	460.776	92.0266
464.982	88.913	489.305	91.3808
96.9175	106.112	120.521	107.664
439.437	108.549	463.636	110.948
408.508	113.033	433.749	115.361
120.461	113.755	143.612	116.033
127.343	114.453	148.981	117.449
461.577	127.389	487.272	129.281
436.973	127.736	461.431	130.185
444.495	128.039	468.984	130.567
444.912	138.655	469.209	141.253
444.021	147.815	469.413	174.428
201.968	152.719	225.969	154.385
433.299	155.176	458.048	157.961
31.8394	156.94	56.211	158.25
125.753	156.998	149.435	158.497
233.984	157.203	258.086	158.822
152.229	158.363	176.147	160.188
470.207	158.217	494.954	161.319
49.5367	158.907	73.7707	159.593
189.309	159.254	213.224	161.018
442.019	159.293	467.216	161.868
198.227	159.99	222.426	161.987
205.773	160.352	228.865	162.612
404.134	160.134	429.451	162.039
337.348	160.935	360.76	163.835
348.13	161.07	372.489	163.647
361.834	161.059	385.289	163.469
450.853	163.787	475.221	166.928
123.656	164.799	147.634	166.737
132.465	164.511	156.17	166.115
33.08	168.309	56.5419	170.35
356.174	169.031	379.87	171.944
77.0577	169.982	101.401	170.833
308.576	170.123	331.41	171.914
370.847	169.571	395.163	171.693
247.201	170.977	270.18	173.192
40.6279	172.369	64.7467	173.013
436.539	172.518	461.318	175.064
133.85	174.465	156.579	176.809
145.706	176.322	170.116	176.523
451.766	177.718	474.437	180.296
45.5536	179.291	69.8409	179.685
50.5846	179.132	74.8488	179.568
461.261	179.25	485.307	182.268
375.832	179.974	400.086	182.959
390.07	181.084	413.051	184.54
424.338	181.201	448.178	184.24
103.055	183.403	126.368	184.351
132.533	183.28	157.102	183.564
67.0457	184.066	92.4135	184.63
79.2986	184.335	103.802	186.686
145.585	184.611	169.171	186.106
98.1171	187.629	123.538	188.768
362.224	188.208	384.411	191.055
369.383	189.493	392.147	192.215
53.2743	189.467	76.2257	190.919
382.82	190.742	405.652	193.982
424.598	193.315	449.598	195.79
405.809	193.671	428.964	196.833
416.313	193.361	439.421	196.329
118.569	195.035	143.561	196.028
98.6243	195.936	121.241	197.431
343.062	196.097	365.42	199.374
449.476	196.213	472.72	200.123
61.4295	197.456	84.089	199.506
67.5893	197.986	90.7494	198.667
271.912	200.209	295.249	202.186
313.285	200	336.981	203.848
381.474	200.502	405.404	203.151
438.47	202.32	462.489	205.369
442.799	203.522	466.91	206.325
139.411	206.717	163.222	208.768
278.145	211.192	300.668	214.518
323.325	212.141	346	215.005
429.641	218.011	453.764	220.766
439.725	220.384	463.927	223.331
309.669	220.477	333.155	222.537
327.297	221.346	348.937	225.296
262.915	225.593	285.351	228.458
428.513	228.938	451.876	232.255
462.248	229.335	485.783	232.805
443.849	234.616	467.355	238.003
