2.44E+02	2.59E+02	2.24E+02	1.45E+02
2.78E+02	2.58E+02	2.62E+02	1.44E+02
3.12E+02	2.57E+02	3.00E+02	1.42E+02
3.46E+02	2.56E+02	3.38E+02	1.41E+02
3.79E+02	2.56E+02	3.78E+02	1.41E+02
4.14E+02	2.55E+02	4.17E+02	1.39E+02
4.48E+02	255	4.55E+02	1.40E+02
4.82E+02	2.54E+02	4.94E+02	1.39E+02
2.40E+02	2.82E+02	2.18E+02	1.67E+02
2.75E+02	2.82E+02	2.57E+02	1.66E+02
3.10E+02	281	2.97E+02	1.65E+02
3.45E+02	2.80E+02	3.37E+02	1.64E+02
3.80E+02	2.80E+02	3.77E+02	1.64E+02
4.15E+02	2.79E+02	4.18E+02	1.63E+02
4.50E+02	2.78E+02	4.59E+02	1.63E+02
4.86E+02	2.78E+02	4.99E+02	1.62E+02
2.35E+02	3.08E+02	2.11E+02	1.92E+02
2.71E+02	3.07E+02	2.52E+02	1.91E+02
3.07E+02	3.06E+02	2.93E+02	1.90E+02
3.44E+02	3.06E+02	3.35E+02	1.89E+02
3.80E+02	3.05E+02	3.78E+02	1.88E+02
4.16E+02	3.05E+02	4.20E+02	1.88E+02
4.53E+02	3.04E+02	4.62E+02	1.87E+02
4.89E+02	3.03E+02	5.04E+02	1.86E+02
2.31E+02	3.35E+02	2.04E+02	2.18E+02
2.67E+02	3.34E+02	2.46E+02	2.17E+02
3.05E+02	3.34E+02	2.90E+02	2.16E+02
3.43E+02	333	3.33E+02	2.16E+02
3.80E+02	3.32E+02	3.78E+02	2.15E+02
4.18E+02	3.32E+02	4.21E+02	2.14E+02
4.56E+02	3.31E+02	4.65E+02	2.14E+02
4.93E+02	3.31E+02	5.09E+02	2.13E+02
2.25E+02	3.64E+02	1.95E+02	2.47E+02
2.64E+02	3.63E+02	2.40E+02	2.46E+02
3.02E+02	3.63E+02	2.85E+02	2.46E+02
3.41E+02	3.63E+02	3.31E+02	2.45E+02
3.80E+02	3.62E+02	3.77E+02	2.44E+02
4.19E+02	3.61E+02	4.23E+02	2.43E+02
4.59E+02	3.61E+02	4.69E+02	2.43E+02
4.97E+02	3.60E+02	5.15E+02	2.42E+02
2.20E+02	3.95E+02	1.87E+02	2.78E+02
2.60E+02	3.94E+02	2.34E+02	2.78E+02
3.00E+02	3.94E+02	2.81E+02	2.77E+02
3.40E+02	3.93E+02	3.29E+02	2.76E+02
3.81E+02	3.93E+02	3.77E+02	2.75E+02
4.21E+02	3.93E+02	4.25E+02	2.75E+02
4.61E+02	3.92E+02	4.73E+02	2.75E+02
5.02E+02	3.91E+02	5.21E+02	2.74E+02
